user_id,content_id,action,timestamp,device,region,session_id
156,1010,pause,2023-09-05 5:50:13,tablet,EU,S6019
129,1002,skip,2023-09-05 22:17:58,tablet,EU,S7423
129,1007,play,2023-09-05 6:48:57,desktop,APAC,S5627
121,1007,forward,2023-09-05 8:15:48,tablet,EU,S7995
145,1007,skip,2023-09-05 12:44:0,desktop,APAC,S1955
150,1004,play,2023-09-05 7:34:11,tablet,APAC,S7557
145,1002,pause,2023-09-05 21:33:51,tablet,US,S6997
189,1000,forward,2023-09-05 10:53:15,tablet,EU,S1732
121,1001,skip,2023-09-05 13:42:15,desktop,APAC,S8847
168,1009,forward,2023-09-05 9:49:45,mobile,US,S3500
105,1006,play,2023-09-05 5:52:2,desktop,US,S6216
100,1008,pause,2023-09-05 9:11:11,mobile,EU,S8635
125,1008,play,2023-09-05 10:16:38,desktop,US,S3637
152,1006,play,2023-09-05 5:3:30,tablet,APAC,S8960
136,1005,skip,2023-09-05 18:57:53,mobile,US,S4773
151,1007,play,2023-09-05 0:48:18,mobile,US,S7917
195,1002,skip,2023-09-05 22:39:4,desktop,EU,S9308
200,1008,play,2023-09-05 2:1:4,mobile,EU,S3089
174,1001,forward,2023-09-05 18:1:38,tablet,EU,S1590
150,1010,skip,2023-09-05 4:45:25,desktop,US,S4449
113,1008,pause,2023-09-05 5:13:55,desktop,EU,S9486
150,1008,skip,2023-09-05 9:40:0,tablet,US,S4194
137,1003,play,2023-09-05 8:13:46,mobile,EU,S7742
156,1000,forward,2023-09-05 14:20:4,tablet,APAC,S9344
112,1009,pause,2023-09-05 17:15:46,mobile,US,S6741
178,1003,skip,2023-09-05 7:38:10,desktop,APAC,S6634
143,1002,pause,2023-09-05 23:11:48,mobile,APAC,S3171
