user_id,content_id,action,timestamp,device,region,session_id
100,1003,forward,2023-09-06 14:45:59,desktop,EU,S5573
118,1000,skip,2023-09-06 23:48:30,desktop,EU,S5699
173,1005,skip,2023-09-06 13:56:2,tablet,APAC,S8258
112,1002,forward,2023-09-06 10:30:21,desktop,APAC,S2250
165,1008,play,2023-09-06 8:3:13,tablet,EU,S6656
189,1007,play,2023-09-06 9:31:24,mobile,US,S7171
139,1004,forward,2023-09-06 0:22:22,tablet,US,S2776
180,1004,skip,2023-09-06 21:45:25,desktop,EU,S9092
184,1005,pause,2023-09-06 7:46:27,mobile,EU,S1262
110,1009,skip,2023-09-06 13:7:0,mobile,EU,S2431
183,1005,skip,2023-09-06 14:27:23,tablet,APAC,S4647
116,1002,skip,2023-09-06 23:8:40,mobile,EU,S5097
198,1007,play,2023-09-06 18:25:7,mobile,EU,S5933
102,1001,skip,2023-09-06 13:4:22,tablet,US,S6375
114,1007,forward,2023-09-06 20:34:9,desktop,APAC,S9671
131,1007,play,2023-09-06 12:1:42,tablet,APAC,S9514
170,1009,play,2023-09-06 1:35:47,tablet,EU,S8348
118,1010,play,2023-09-06 6:25:56,mobile,US,S2773
149,1001,pause,2023-09-06 2:43:15,tablet,EU,S4635
121,1000,pause,2023-09-06 8:40:44,desktop,EU,S1916
101,1006,forward,2023-09-06 15:29:19,desktop,APAC,S5472
190,1009,forward,2023-09-06 14:6:3,tablet,US,S6111
164,1002,forward,2023-09-06 19:0:31,mobile,US,S1502
161,1000,pause,2023-09-06 1:17:31,tablet,EU,S2063
139,1007,play,2023-09-06 22:32:18,mobile,US,S1315
195,1004,skip,2023-09-06 11:23:1,mobile,EU,S2977
147,1010,skip,2023-09-06 16:7:30,tablet,APAC,S7394
125,1009,play,2023-09-06 21:15:47,tablet,US,S7992
